"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"1","B1AXV0",1,1,1,1,1,1,1,1,1,1,1,1,0.999487848265388,1,1,1,1,1,1.07650402652771,1,1,1,1,1
"2","B2RSH2",1,1,1,1,0,1,1,1,1,1,0,1,0.314027183071982,1,1,1,0,1,1.40884625601228,1,1,1,0.00061059769354577,0.971024867509371
"3","D3YVF0",1,1,1,1,1,1,1,1,1,1,1,1,0.205979075613477,1,1,1,1,1,1.27376389421234,1,1,1,0.000691802144586648,1445.5
"4","D3Z7P3",1,1,1,0,0,1,1,1,1,0,0,1,0.499732379470537,1,1,0,0,1,0.926373233136518,1,1,0.000189393939393939,5280,1
"5","E9PUL5",1,1,1,1,0,1,1,1,1,1,0,1,0.782148727410948,1,1,1,0,1,1.08134326268933,1,1,1,0.00011682697924374,1.12022859137111
"6","E9Q3L2",1,1,1,1,1,1,1,1,1,1,1,1,0.569093002992642,1,1,1,1,1,0.935184437807725,1,1,1,1,1
"7","E9Q401",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.85559265442404,1,1,1,1,1
"8","E9Q414",1,1,1,1,0,1,1,1,1,1,0,1,0.821890681028651,1,1,1,0,1,1.22147115410949,1,1,1,0.000137475941710201,0.894931102362205
"9","E9Q557",1,1,0,0,1,1,1,1,0,0,1,1,0.396729443032501,1,0,0,0.352449961521496,0.54458448482858,0.751788298084615,1.01907425787242,0.000216547866101237,0.000139528394028185,0.774950441520998,0.596442199172352
"10","E9Q6P5",1,1,1,1,1,1,1,1,1,1,1,1,0.498384172776703,1,1,1,1,1,1.10643821391485,1,1,1,1,1
"11","F8VPU2",1,1,1,1,0,0,1,1,1,1,0,0,0.492573468111075,1,1,1,0,0,0.907279061239461,1,1,1,0.000217359802927113,3.001087192868
"12","G3XA57",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2.65984993379432,1,1,1,1,1
"13","G5E829",1,0.140768464039492,0,0,1,1,1,0.00507372525468462,0,0,0.825530502504206,0.179778259058434,0.933831503904025,0.000654737042044149,0,0,0.106530285381096,0.0231994204753372,1.02023265803477,2.64032095928771,0.31017089107489,0.129265136042971,2.83349349236182,1.43326576709759
"14","G5E8K5",1,1,1,1,1,1,1,1,1,1,1,1,0.372595973158933,1,1,1,1,1,1.13663405228026,1,1,1,1,1
"15","O08528",1,1,1,1,1,1,1,1,1,1,1,1,0.211847291500274,1,1,1,1,1,1.83251858089885,1,1,1,1,1
"16","O08530",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.441320424689909,0.508866012861611,2.12399766729844,1,1,0.00018628912071535,1.20358744394619,0.804183195095564
"17","O08532",1,1,1,1,0,1,0.461563329493441,1,1,1,0,1,0.059562273063477,1,1,1,0,0.762324640310397,1.17837451500918,1,1,1,0.000285157549546123,0.891718935412779
"18","O08539",1,1,1,1,0,1,1,1,1,1,0,1,0.13433902466358,1,1,1,0,0.138607361392322,1.26793003351989,1,1,1,0.000384745176328914,0.787665137722333
"19","O08547",1,1,1,0,1,1,1,1,1,0,0.444103873171932,0.104911729775681,0.194864953914603,1,1,0,0.0573092238316352,0.0135382962578911,0.762963465057954,1,1,0.000211595429538722,1.43538344722855,0.689384422110553
