"","accession","bonferroni: wt VS ko","bonferroni: wt-cyto-no glu VS wt-cyto-glu","bonferroni: wt-mem-glu VS wt-cyto-glu","bonferroni: wt-mem-glu VS wt-mem-no glu","bonferroni: wt-mem-no glu VS Δ-mem-no glu","bonferroni: Δ-mem-no glu VS Δ-mem-glu","BH: wt VS ko","BH: wt-cyto-no glu VS wt-cyto-glu","BH: wt-mem-glu VS wt-cyto-glu","BH: wt-mem-glu VS wt-mem-no glu","BH: wt-mem-no glu VS Δ-mem-no glu","BH: Δ-mem-no glu VS Δ-mem-glu","BY: wt VS ko","BY: wt-cyto-no glu VS wt-cyto-glu","BY: wt-mem-glu VS wt-cyto-glu","BY: wt-mem-glu VS wt-mem-no glu","BY: wt-mem-no glu VS Δ-mem-no glu","BY: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"1","B1AXV0",-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,1.07650402652771,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"2","B2RSH2",1,-3,-3,-3,-2,-1,0.517792112541214,-3,-3,-3,-2,-1,1,-3,-3,-3,-2,-1,1.40884625601228,0.410415510310732,0.30212949989602,0.279778177582586,0.143128940389155,0.971024867509371
"3","D3YVF0",-2,-3,-3,-3,-2,-1,-2,-3,-3,-3,-2,-1,-2,-3,-3,-3,-2,-1,1.27376389421234,0.410415510310732,0.30212949989602,0.279778177582586,0.0760570825221609,5.83484826981649
"4","D3Z7P3",-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-1,0.926373233136518,3.27030927835052,0.0270442156701031,0.0124208755681818,1.98608237728042,0.789809863339275
"5","E9PUL5",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,1.08134326268933,0.410415510310732,0.30212949989602,0.015427481298518,0.49663148876514,1.12022859137111
"6","E9Q3L2",-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,0.935184437807725,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"7","E9Q401",-1,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,0.784957627118644,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"8","E9Q414",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,1.22147115410949,0.410415510310732,0.30212949989602,0.021128293492268,0.426725323068463,0.894931102362205
"9","E9Q557",1,-1,-1,-1,-2,-1,0.538740846685512,-1,-1,-1,-2,-1,1,-1,-1,-1,-2,-1,0.751788298084615,1.01907425787242,2.08928990345576,1.34619320031627,0.774950441520998,0.596442199172352
"10","E9Q6P5",-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,1.10643821391485,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"11","F8VPU2",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,0.907279061239461,0.410415510310732,0.30212949989602,0.0200710705432288,0.710223156064341,1.23144182726623
"12","G3XA57",-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,1.25851587154261,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"13","G5E829",1,0.023353293573372,-1,-1,1,1,0.945953876073928,0.00245052099185559,-1,-1,0.112003167425764,0.0440568092127202,1,0.0145923798041418,-1,-1,0.716351446646252,0.286019863531978,1.02023265803477,2.64032095928771,1.10917641990378,0.462254340881717,2.83349349236182,1.43326576709759
"14","G5E8K5",-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,1.13663405228026,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"15","O08528",1,-3,-3,-3,-3,-3,0.380958675435159,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,1.83251858089885,0.410415510310732,0.30212949989602,0.279778177582586,1.00573237049315,0.441252115753338
"16","O08530",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,0.669108528911955,0.410415510310732,0.30212949989602,0.012217254657228,1.20358744394619,0.804183195095564
"17","O08532",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,1.17837451500918,0.410415510310732,0.30212949989602,0.0255780900936037,0.731143957036259,0.891718935412779
"18","O08539",-2,-3,-3,-3,-2,-1,-2,-3,-3,-3,-2,-1,-2,-3,-3,-3,-2,-1,1.26793003351989,0.410415510310732,0.30212949989602,0.279778177582586,0.090187319719491,0.787665137722333
"19","O08547",-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,-2,-3,-3,-2,-1,-1,0.762963465057954,0.410415510310732,0.30212949989602,0.0138768986457893,1.43538344722855,0.689384422110553
"20","O08553",1,1,-1,-1,1,1,0.978646267551138,0.0416374592409822,-1,-1,0.254930960510949,0.552403753476357,1,0.247943037967532,-1,-1,1,1,1.06766224748625,1.60285724923813,0.841378396072259,0.617373639129014,0.779643299031098,0.843867121456524
"21","O08583",-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-1,1.29847734059659,0.444859129972535,0.00290521055196243,0.00790099668694657,1.18181818181818,0.696493649232701
