file,sample,mode,queries,peptides,proteins
O200221_02_IA_workflow.xml,O200221_02,DIA,14625,3138,371
O200221_03_IA_workflow.xml,O200221_03,DIA,15743,3762,424
O200221_04_IA_workflow.xml,O200221_04,DIA,55131,15961,1346
O200221_05_IA_workflow.xml,O200221_05,DIA,52545,14655,1317
O200221_06_IA_workflow.xml,O200221_06,DIA,53901,13071,1314
O200221_07_IA_workflow.xml,O200221_07,DIA,61174,19563,1583
O200221_08_IA_workflow.xml,O200221_08,DIA,65473,19029,1567
O200221_09_IA_workflow.xml,O200221_09,DIA,64944,15902,1339
O200221_10_IA_workflow.xml,O200221_10,DIA,66836,18967,1663
O200221_11_IA_workflow.xml,O200221_11,DIA,38374,9538,1027
O200221_12_IA_workflow.xml,O200221_12,DIA,16938,3665,381
O200221_13_IA_workflow.xml,O200221_13,DIA,41360,9160,961
O200221_14_IA_workflow.xml,O200221_14,DIA,49817,16773,1589
O200221_15_IA_workflow.xml,O200221_15,DIA,34579,8129,830
O200221_16_IA_workflow.xml,O200221_16,DIA,17442,3603,461
O200221_17_IA_workflow.xml,O200221_17,DIA,15282,3189,405
O200221_18_IA_workflow.xml,O200221_18,DIA,17916,4006,542
O200221_19_IA_workflow.xml,O200221_19,DIA,14703,2842,324
O200221_20_IA_workflow.xml,O200221_20,DIA,13411,1754,228
O200221_21_IA_workflow.xml,O200221_21,DIA,22630,6417,761
O200221_23_IA_workflow.xml,O200221_23,DIA,15059,2963,386
O200221_24_IA_workflow.xml,O200221_24,DIA,14138,3221,361
O200221_25_IA_workflow.xml,O200221_25,DIA,8927,612,59
O200221_26_IA_workflow.xml,O200221_26,DIA,6573,256,58
O200221_27_IA_workflow.xml,O200221_27,DIA,9976,1314,128
O200221_28_IA_workflow.xml,O200221_28,DIA,14621,1821,144
O200221_29_IA_workflow.xml,O200221_29,DIA,17030,2730,233
O200221_30_IA_workflow.xml,O200221_30,DIA,8591,699,125
O200221_31_IA_workflow.xml,O200221_31,DIA,8451,1182,186
O200221_32_IA_workflow.xml,O200221_32,DIA,17889,4748,569
O200221_33_IA_workflow.xml,O200221_33,DIA,24431,6865,729
O200221_34_IA_workflow.xml,O200221_34,DIA,12542,2104,279
O200221_35_IA_workflow.xml,O200221_35,DIA,20596,5487,557
O200221_36_IA_workflow.xml,O200221_36,DIA,20318,5345,571
O200221_37_IA_workflow.xml,O200221_37,DIA,16312,5165,569
O200221_38_IA_workflow.xml,O200221_38,DIA,16609,4887,560
O200221_39_IA_workflow.xml,O200221_39,DIA,22773,6537,686
O200221_40_IA_workflow.xml,O200221_40,DIA,16931,5379,612
O200221_41_IA_workflow.xml,O200221_41,DIA,13654,2364,337
O200221_42_IA_workflow.xml,O200221_42,DIA,28978,7287,624
O200221_44_IA_workflow.xml,O200221_44,DIA,11033,1550,237
O200221_45_IA_workflow.xml,O200221_45,DIA,12579,2712,339
O200221_47_IA_workflow.xml,O200221_47,DIA,10860,1388,209
O200221_48_IA_workflow.xml,O200221_48,DIA,16789,4206,451
O200221_49_IA_workflow.xml,O200221_49,DIA,12728,2435,300
O200221_50_IA_workflow.xml,O200221_50,DIA,9704,1392,188
O200221_51_IA_workflow.xml,O200221_51,DIA,10134,1398,172
O200221_52_IA_workflow.xml,O200221_52,DIA,13626,2055,238
O200221_53_IA_workflow.xml,O200221_53,DIA,9582,1641,263
O200221_54_IA_workflow.xml,O200221_54,DIA,7817,465,57
O200221_55_IA_workflow.xml,O200221_55,DIA,22599,3594,346
O200221_56_IA_workflow.xml,O200221_56,DIA,19651,3241,344
O200221_57_IA_workflow.xml,O200221_57,DIA,17847,2356,280
O200221_58_IA_workflow.xml,O200221_58,DIA,20449,4674,600
O200221_59_IA_workflow.xml,O200221_59,DIA,19615,4542,536
O200221_60_IA_workflow.xml,O200221_60,DIA,17858,2629,275
O200221_62_IA_workflow.xml,O200221_62,DIA,10467,1433,189
O200221_63_IA_workflow.xml,O200221_63,DIA,15227,3696,427
O200221_64_IA_workflow.xml,O200221_64,DIA,21063,4681,502
O200221_65_IA_workflow.xml,O200221_65,DIA,15255,3536,439
O200221_66_IA_workflow.xml,O200221_66,DIA,13249,2424,332
O200221_67_IA_workflow.xml,O200221_67,DIA,16157,3825,501
O200221_68_IA_workflow.xml,O200221_68,DIA,15810,3879,521
O200221_69_IA_workflow.xml,O200221_69,DIA,23243,5720,491
O200221_70_IA_workflow.xml,O200221_70,DIA,7401,479,46
O200221_71_IA_workflow.xml,O200221_71,DIA,17042,2534,221
O200221_72_IA_workflow.xml,O200221_72,DIA,15553,2204,252
O200221_73_IA_workflow.xml,O200221_73,DIA,20491,3228,406
O200221_74_IA_workflow.xml,O200221_74,DIA,19472,4283,421
O200221_75_IA_workflow.xml,O200221_75,DIA,14794,3430,458
O200221_77_IA_workflow.xml,O200221_77,DIA,10989,1135,130
O200221_78_IA_workflow.xml,O200221_78,DIA,16482,3761,422
