acquired_name,peptide3d_xml,iaDBs_xml,sample_description
O200221_04,Y:\RES\2020-007\O200221_04\O200221_04_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_04\O200221_04_IA_workflow.xml,2020-007-49 Vogt
O200221_05,Y:\RES\2020-007\O200221_05\O200221_05_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_05\O200221_05_IA_workflow.xml,2020-007-50 Vogt
O200221_06,Y:\RES\2020-007\O200221_06\O200221_06_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_06\O200221_06_IA_workflow.xml,2020-007-51 Vogt
O200221_07,Y:\RES\2020-007\O200221_07\O200221_07_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_07\O200221_07_IA_workflow.xml,2020-007-52 Vogt
O200221_08,Y:\RES\2020-007\O200221_08\O200221_08_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_08\O200221_08_IA_workflow.xml,2020-007-53 Vogt
O200221_09,Y:\RES\2020-007\O200221_09\O200221_09_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_09\O200221_09_IA_workflow.xml,2020-007-54 Vogt
O200221_10,Y:\RES\2020-007\O200221_10\O200221_10_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_10\O200221_10_IA_workflow.xml,2020-007-55 Vogt
O200221_11,Y:\RES\2020-007\O200221_11\O200221_11_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_11\O200221_11_IA_workflow.xml,2020-007-56 Vogt
O200221_12,Y:\RES\2020-007\O200221_12\O200221_12_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_12\O200221_12_IA_workflow.xml,2020-007-57 Vogt
O200221_13,Y:\RES\2020-007\O200221_13\O200221_13_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_13\O200221_13_IA_workflow.xml,2020-007-58 Vogt
O200221_14,Y:\RES\2020-007\O200221_14\O200221_14_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_14\O200221_14_IA_workflow.xml,2020-007-59 Vogt
O200221_15,Y:\RES\2020-007\O200221_15\O200221_15_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_15\O200221_15_IA_workflow.xml,2020-007-60 Vogt
O200221_16,Y:\RES\2020-007\O200221_16\O200221_16_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_16\O200221_16_IA_workflow.xml,2020-007-01 Vogt
O200221_17,Y:\RES\2020-007\O200221_17\O200221_17_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_17\O200221_17_IA_workflow.xml,2020-007-02 Vogt
O200221_18,Y:\RES\2020-007\O200221_18\O200221_18_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_18\O200221_18_IA_workflow.xml,2020-007-03 Vogt
O200221_19,Y:\RES\2020-007\O200221_19\O200221_19_Pep3D_Spectrum.xml,Y:\RES\2020-007\O200221_19\O200221_19_IA_workflow.xml,2020-007-04 Vogt
